Title,
Revision,
Date,
Generated,6/9/2018 12:46:50 PM
Company,
Comment 1,
Comment 2,
Comment 3,
Comment 4,
Total Parts,164
Total Unique Parts,69



Ref,Qty,Value,Footprint,Datasheet,Field4,Field5,Field8,PN,
C101 ,1,?uF,Capacitors_THT:CP_Radial_D8.0mm_P3.50mm,, , , , 
C102 ,1,10uF,Capacitors_SMD:C_0805,EMK212ABJ106MG-T, , , , 
C103 C109 C110 C202 C203 C302 C305 C501 C502 C602 C603 ,11,10uF,Capacitors_SMD:C_0805,, , , ,EMK212ABJ106MG-T
C104 C106 C108 C111 C201 C205 C301 C303 C304 C306 C601 C605 C901 C1001 C1101 C1103 C1104 ,17,0.1uF,Capacitors_SMD:C_0603,, , , , 
C107 ,1,10uF,Capacitors_SMD:C_0805,, , , , 
C112 C113 ,2,20pF,Capacitors_SMD:C_0603,GRM0335C1E200GA01D, , , , 
C114 ,1,?uF,Capacitors_THT:CP_Radial_D10.0mm_P5.00mm,, , , ,EMK212ABJ106MG-T
C204 C604 ,2,8200pF,Capacitors_SMD:C_0402,C0402C822K5RACTU, , , , 
C206 C208 C606 C608 ,4,22uF,Capacitors_SMD:C_0805,, , , , 
C207 C607 ,2,22uF,Capacitors_SMD:C_0805,LMK212BBJ226MG-T, , , , 
C1102 ,1,1uF,Capacitors_SMD:C_0603,C0603C105K9PAC, , , , 
C1105 ,1,1uF,Capacitors_SMD:C_0603,, , , , 
D101 D102 D103 D104 D105 D106 D401 D1103 D1105 ,9,LED,LEDs:LED_0603,, , , , 
D107 D201 D601 D1104 ,4,D_Schottky,seniorDesign:SOD-128,RSX301LAM30TR, , , , 
D501 D502 ,2,D_Schottky,seniorDesign:SOD-128,755-RSX301LAM30TR , , , , 
D1101 ,1,IR204A,LEDs:LED_D5.0mm_Horizontal_O3.81mm_Z3.0mm,, , , , 
D1102 ,1,D_Photo,LEDs:LED_D1.8mm_W1.8mm_H2.4mm_Horizontal_O3.81mm_Z4.9mm,, , , , 
F501 F502 ,2,Polyfuse,Fuse_Holders_and_Fuses:Fuse_SMD1206_Reflow,PTS120615V050, , , , 
J101 ,1,BARREL_JACK,Connectors:Barrel_Jack_CUI_PJ-102AH,694106301002, , , , 
J102 ,1,touch(8pos) AT42QT1070 STANDALONE,Pin_Headers:Pin_Header_Straight_2x04_Pitch2.54mm,, , , , 
J103 ,1,ISP,Pin_Headers:Pin_Header_Straight_2x03_Pitch2.54mm,, , , , 
J104 J105 J106 J110 J117 J118 ,6,GS3,Connectors:GS3,, , , , 
J107 ,1,LoadCell_Conn,Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm,, , , , 
J108 ,1,Smraza2004_LCD,Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm,, , , , 
J109 ,1,ambientLight,Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm,, , , , 
J112 ,1,Serial Monitor,Pin_Headers:Pin_Header_Straight_2x01_Pitch2.54mm,, , , , 
J113 ,1,breakout,Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm,, , , , 
J119 ,1,ext_5VPWR,Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm,, , , , 
J123 J301 J302 J401 J402 J1102 J1103 ,7,GS2,Connectors:GS2,, , , , 
J124 ,1,ext_Motion,Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm,, , , , 
J501 ,1,USB_A,Connectors:USB_A,, , , , 
